Current position: ['HHR', 'XHH', 'CGS', 'RDX', 'NTZ', 'HPC'], Current step: 10000049
Current position: ['RHN', 'DVP', 'DSL', 'KMS', 'NTZ', 'VXP'], Current step: 20000098
Current position: ['MBD', 'FHH', 'FLC', 'LXJ', 'NTZ', 'BXK'], Current step: 30000147
Current position: ['HMN', 'HPT', 'GBD', 'HTG', 'NTZ', 'GDF'], Current step: 40000196
Current position: ['QHS', 'GKJ', 'PPQ', 'LTP', 'NTZ', 'HTQ'], Current step: 50000245
Current position: ['RCL', 'HBV', 'HNC', 'TTQ', 'NTZ', 'CTJ'], Current step: 60000294
Current position: ['DVT', 'NDC', 'RVG', 'HNG', 'NTZ', 'SBL'], Current step: 70000343
Current position: ['RJC', 'MBM', 'QFM', 'KXN', 'NTZ', 'VVS'], Current step: 80000392
Current position: ['GRJ', 'BTS', 'CPK', 'GPP', 'LXH', 'CCH'], Current step: 80000655
Current position: ['GQD', 'MTH', 'PFT', 'QRM', 'LXH', 'TCG'], Current step: 90000704
Current position: ['SQD', 'VMT', 'JXB', 'SCX', 'LXH', 'RMM'], Current step: 100000753
Current position: ['VCM', 'TRG', 'RMR', 'VBF', 'LXH', 'SXR'], Current step: 110000802
Current position: ['KDZ', 'DNP', 'PLV', 'FFD', 'LXH', 'LFT'], Current step: 120000851
Current position: ['HHR', 'XXF', 'NNC', 'PHG', 'LXH', 'PXF'], Current step: 130000900
Current position: ['RHN', 'TNX', 'NPR', 'RMP', 'LXH', 'RGF'], Current step: 140000949
Current position: ['MBD', 'VBG', 'GVG', 'TFH', 'LXH', 'TXL'], Current step: 150000998
Current position: ['HMN', 'JGC', 'DLD', 'MQS', 'LXH', 'VKL'], Current step: 160001047
Current position: ['QHS', 'LQL', 'KTV', 'VPQ', 'LXH', 'PTP'], Current step: 170001096
Current position: ['RCL', 'HVX', 'VXM', 'BKT', 'LXH', 'TVB'], Current step: 180001145
Current position: ['DVT', 'MFX', 'HXG', 'TXR', 'LXH', 'NGD'], Current step: 190001194
Current position: ['RJC', 'KHH', 'MHT', 'MNT', 'LXH', 'FDF'], Current step: 200001243
Current position: ['QFJ', 'QXH', 'HGM', 'BNK', 'LXH', 'SRQ'], Current step: 210001292
Current position: ['QRK', 'HKT', 'LKZ', 'HGX', 'LXH', 'JBS'], Current step: 220001341
